name	component	type	tracked_point	units	sampling_frequency	tracking_system
l_sho_POS_z	z	POS	l_sho	mm	200	omc
l_sho_POS_n/a	n/a	POS	l_sho	mm	200	omc
l_ua_POS_x	x	POS	l_ua	mm	200	omc
l_ua_POS_y	y	POS	l_ua	mm	200	omc
l_ua_POS_z	z	POS	l_ua	mm	200	omc
l_ua_POS_n/a	n/a	POS	l_ua	mm	200	omc
l_elbl_POS_x	x	POS	l_elbl	mm	200	omc
l_elbl_POS_y	y	POS	l_elbl	mm	200	omc
l_elbl_POS_z	z	POS	l_elbl	mm	200	omc
l_elbl_POS_n/a	n/a	POS	l_elbl	mm	200	omc
l_frm_POS_x	x	POS	l_frm	mm	200	omc
l_frm_POS_y	y	POS	l_frm	mm	200	omc
l_frm_POS_z	z	POS	l_frm	mm	200	omc
l_frm_POS_n/a	n/a	POS	l_frm	mm	200	omc
l_wrr_POS_x	x	POS	l_wrr	mm	200	omc
l_wrr_POS_y	y	POS	l_wrr	mm	200	omc
l_wrr_POS_z	z	POS	l_wrr	mm	200	omc
l_wrr_POS_n/a	n/a	POS	l_wrr	mm	200	omc
l_wru_POS_x	x	POS	l_wru	mm	200	omc
l_wru_POS_y	y	POS	l_wru	mm	200	omc
l_wru_POS_z	z	POS	l_wru	mm	200	omc
l_wru_POS_n/a	n/a	POS	l_wru	mm	200	omc
l_hand_POS_x	x	POS	l_hand	mm	200	omc
l_hand_POS_y	y	POS	l_hand	mm	200	omc
l_hand_POS_z	z	POS	l_hand	mm	200	omc
l_hand_POS_n/a	n/a	POS	l_hand	mm	200	omc
r_sho_POS_x	x	POS	r_sho	mm	200	omc
r_sho_POS_y	y	POS	r_sho	mm	200	omc
r_sho_POS_z	z	POS	r_sho	mm	200	omc
r_sho_POS_n/a	n/a	POS	r_sho	mm	200	omc
r_ua_POS_x	x	POS	r_ua	mm	200	omc
r_ua_POS_y	y	POS	r_ua	mm	200	omc
r_ua_POS_z	z	POS	r_ua	mm	200	omc
r_ua_POS_n/a	n/a	POS	r_ua	mm	200	omc
r_elbl_POS_x	x	POS	r_elbl	mm	200	omc
r_elbl_POS_y	y	POS	r_elbl	mm	200	omc
r_elbl_POS_z	z	POS	r_elbl	mm	200	omc
r_elbl_POS_n/a	n/a	POS	r_elbl	mm	200	omc
r_frm_POS_x	x	POS	r_frm	mm	200	omc
r_frm_POS_y	y	POS	r_frm	mm	200	omc
r_frm_POS_z	z	POS	r_frm	mm	200	omc
r_frm_POS_n/a	n/a	POS	r_frm	mm	200	omc
r_wrr_POS_x	x	POS	r_wrr	mm	200	omc
r_wrr_POS_y	y	POS	r_wrr	mm	200	omc
r_wrr_POS_z	z	POS	r_wrr	mm	200	omc
r_wrr_POS_n/a	n/a	POS	r_wrr	mm	200	omc
r_wru_POS_x	x	POS	r_wru	mm	200	omc
r_wru_POS_y	y	POS	r_wru	mm	200	omc
r_wru_POS_z	z	POS	r_wru	mm	200	omc
r_wru_POS_n/a	n/a	POS	r_wru	mm	200	omc
r_hand_POS_x	x	POS	r_hand	mm	200	omc
r_hand_POS_y	y	POS	r_hand	mm	200	omc
r_hand_POS_z	z	POS	r_hand	mm	200	omc
r_hand_POS_n/a	n/a	POS	r_hand	mm	200	omc
lf_hd_POS_x	x	POS	lf_hd	mm	200	omc
lf_hd_POS_y	y	POS	lf_hd	mm	200	omc
lf_hd_POS_z	z	POS	lf_hd	mm	200	omc
lf_hd_POS_n/a	n/a	POS	lf_hd	mm	200	omc
rf_hd_POS_x	x	POS	rf_hd	mm	200	omc
rf_hd_POS_y	y	POS	rf_hd	mm	200	omc
rf_hd_POS_z	z	POS	rf_hd	mm	200	omc
rf_hd_POS_n/a	n/a	POS	rf_hd	mm	200	omc
lb_hd_POS_x	x	POS	lb_hd	mm	200	omc
lb_hd_POS_y	y	POS	lb_hd	mm	200	omc
lb_hd_POS_z	z	POS	lb_hd	mm	200	omc
lb_hd_POS_n/a	n/a	POS	lb_hd	mm	200	omc
rb_hd_POS_x	x	POS	rb_hd	mm	200	omc
rb_hd_POS_y	y	POS	rb_hd	mm	200	omc
rb_hd_POS_z	z	POS	rb_hd	mm	200	omc
rb_hd_POS_n/a	n/a	POS	rb_hd	mm	200	omc
start_1_POS_x	x	POS	start_1	mm	200	omc
start_1_POS_y	y	POS	start_1	mm	200	omc
start_1_POS_z	z	POS	start_1	mm	200	omc
start_1_POS_n/a	n/a	POS	start_1	mm	200	omc
start_2_POS_x	x	POS	start_2	mm	200	omc
start_2_POS_y	y	POS	start_2	mm	200	omc
start_2_POS_z	z	POS	start_2	mm	200	omc
start_2_POS_n/a	n/a	POS	start_2	mm	200	omc
turn_POS_x	x	POS	turn	mm	200	omc
turn_POS_y	y	POS	turn	mm	200	omc
turn_POS_z	z	POS	turn	mm	200	omc
turn_POS_n/a	n/a	POS	turn	mm	200	omc
